
Path,Label
datasets/JuanEAntonia/Antonia/Antonia01.jpg,Antonia
datasets/JuanEAntonia/Antonia/Antonia03.jpg,Antonia
datasets/JuanEAntonia/Antonia/Antonia06.jpg,Antonia
datasets/JuanEAntonia/Antonia/Antonia04.jpg,Antonia
datasets/JuanEAntonia/Antonia/Antonia05.jpg,Antonia
datasets/JuanEAntonia/Antonia/Antonia02.jpg,Antonia
datasets/JuanEAntonia/Juan/Juan01.jpg,Juan
datasets/JuanEAntonia/Juan/Juan03.jpg,Juan
datasets/JuanEAntonia/Juan/Juan05.jpg,Juan
datasets/JuanEAntonia/Juan/Juan04.jpg,Juan
datasets/JuanEAntonia/Juan/Juan02.jpg,Juan
datasets/JuanEAntonia/Juan/Juan06.jpg,Juan
